error,label,pred,text,category
FN,1,0,VITAMIN C FOR THE EYES. The texture of this product is a mix between rich cream and serum. It is very soft and absorbs quickly too. It feels very smooth and silky when applying it and a little goes the long way. I definitely felt the burning sensation first couple days of use but then it slowly went away as my skin started tolerating it. It lighted my dark circles in just about a week of use. I will continue to use this product as I definitely think this will reduce my dark wrinkles and fine lines even further over time. This product was the perfect complimentary voxbox for me for my dark circles. I received this for testing purposes.,1
FN,1,0,"surprise! it's awesome!. Honestly, for such sensitive skin I have, I was really apprehensive about using this product. Chemical peels and peeling masks tend to do WAY more damage than good. However, this product rocks my world, from the first use. I really love this product and I'm buying the full size version. 100% sold on this.",0
FN,1,0,"Amazing and gentle on skin. Great face wash for everyday! It foams up really well and has a lightly pleasant scent but not overwhelming. Just a very nice spa aroma. You literally need a pea-sized amount for your whole face. Once you do, I mix a bit of water and start lathering with my hands to create a foamy texture, then use that to wash my face. I double cleanse (sometimes triple cleanse) and from the initial cleansing phase, I feel like this can remove leftover makeup. I don't think this can be used by itself initially for removing makeup because when I did, there were still some leftover makeup residue left around the eyes. As I noted, when I do triple cleanse with an exfoliating toner, there was absolutely no makeup residue left. Very gentle and non-drying or does not have that tightening feeling when face was towel dried. I loved it so much I got the value size! This one will last for a while though but since I use almost everyday it will run out sooner. Definitely recommend!!!",0
FN,1,0,"Incredible next gen formulation. I have dry, dull, easily irritated skin so when I saw the claims of this serum, it was a no-brainer for me. With hydration, less redness, anti-aging, and soothing benefits, I have to admit I was skeptical. The ingredients are top notch, including next generation formulations that I didn't even know existed. After applying, my skin is much more hydrated, has a healthy glow, and feels intensely nourished and less irritated. I've noticed a decrease in redness and dullness, as well as a more even complexion. I'm really impressed so far! This is truly a serum that does it all!",0
FN,1,0,best ordinary product so far. my skin is acne prone and some product aggravate the problem. i am using dofferent products.but this serum really helped alot. my skin is more clearer and bright. acne is also controlled.,0
FN,1,0,"Temporarily cleared my skin. This product cleared my acne this summer! I started using it end of July and quickly fell in love with it. I had some concerns at first because it caused more pimples to show, but I guess it just got the gunk out. Two weeks later, my skin was clear and even! Now that we are in winter, I feel like it is less effective, probably since it controls sebum and the harsh cold causes dryness. I might need my natural sebum right now. Otherwise, texture feels nice and refreshing. Already bought a bigger bottle!",1
FN,1,0,Life Changing and Pore Shrinking!. My genetics left me with the unfortunate fact I'll always have some blemishes and HUGE pores on my nose and cheeks...and I have literally tried so many products that usually make me break out more because my skin is sensitive and it's too harsh.I have only been using this for one week and it's AMAZING! I have my mother boyfriend and best friend asking me what I'm finally using because my tone and texture looks so different. His is now forever in my routine along with the hyaluronic acid serum.,0
FN,1,0,"So Amazing!. This was complimentary from Cay Skin. I am so obsessed with this new sunscreen! It gives the perfect glow while being so lightweight and non-greasy. I would recommend this to all skin types! My skin is sensitive and unlike other sunscreens, this one gave me no irritation and no breakouts. This is 100% worth a try. Thank you Cay Skincare",0
FN,1,0,"Not for me. I was not a fan of this eye cream at all. It seemed to irritate the skin around my eyes when I put it on, and I didn't notice any improvement in fine lines or dryness. Bummer given the price, but just not for me!",1
FN,1,0,"Smells wonderful and works great. First of all, this smells amazing! This also comes with a tiny little spoon to scoop it out so you don't have to dig your fingers in it. It is thick and creamy and is a great addition to my skincare routine. After several days my skin is smoother, red spots are diminishing quickly, and I feel like my skin looks so much more healthy. You should definitely try this one out. This is a keeper.",0
